num,pron,char,main_mean,tot_stk,main_elem,disused,rad_stk,rad,rad_elem,detail_mean,meaning,stk_info,rad_id,no_rad_stk,rad_mean
69,간,稈,짚,12,木,FALSE,5,禾,木,(벼 보리 따위 곡초의 줄기인) 짚,짚 【간】,총 12획 (부 7획),115,7,벼화
70,간,艱,어려울,17,土,FALSE,6,艮,土,어렵다; 괴롭다; 어렵게 여기다; 괴로워하다; 고생; 당고(當故: 부모의 상),어려울 【간】,총 17획 (부 11획),138,11,머무를간
71,간,癇,간질,17,水,TRUE,5,疒,水,간질(癎疾); 경풍(驚風: 어린아이가 경련을 일으키는 병); 지랄병; 황달(黃疸); 붓다,간질 【간】,총 17획 (부 12획),104,12,병질안역
72,간,癎,간질,17,水,TRUE,5,疒,水,간질(癎疾); 경풍(驚風: 어린아이가 경련을 일으키는 병); 지랄병; 황달(黃疸); 붓다,간질 【간】,총 17획 (부 12획),104,12,병질안역
73,간,忓,방해할,7,火,FALSE,4,心,火,방해하다(妨害--); 어지럽히다,방해할 【간】,총 7획 (부 3획),61,3,마음심
74,간,矸,산돌,8,金,FALSE,5,石,金,산돌,산돌 【간】,총 8획 (부 3획),112,3,돌석
75,갈,渴,목마를,13,水,FALSE,4,水,水,목이 마르다; 갈증; 서두르다,목마를 【갈】,총 13획 (부 9획),85,9,물수
76,갈,葛,칡,15,木,FALSE,6,艸(艹),木,칡; 갈포(칡의 섬유로 짠 베); 나라 이름,칡 【갈】,총 15획 (부 9획),140,9,풀초
77,갈,乫,땅이름,6,木,FALSE,1,乙,木,땅 이름; 음역자,땅이름 【갈】,총 6획 (부 5획),5,5,새을
78,갈,喝,꾸짖을,12,水,TRUE,3,口,水,꾸짖다; 큰소리,꾸짖을 【갈】,총 12획 (부 9획),30,9,입구
79,갈,曷,어찌,9,火,FALSE,4,日,火,어찌(何); 어느 때,어찌 【갈】,총 9획 (부 5획),72,5,날일
80,갈,碣,비석,14,金,FALSE,5,石,金,비석; 문체 이름(비문의 한 체); 우뚝 솟다; 우뚝 솟은 돌,비석 【갈】,총 14획 (부 9획),112,9,돌석
81,갈,竭,다할,14,金,FALSE,5,立,金,다하다; (등에) 지다; 들다; 엉기다,다할 【갈】,총 14획 (부 9획),117,9,설립
82,갈,褐,털옷,15,木,FALSE,6,衣,木,털옷; 베옷; 천인; 다색(거무스름한 주황빛),털옷 【갈】,총 15획 (부 9획),145,9,옷의
83,갈,蝎,수궁,15,水,TRUE,6,虫,水,나무굼벵이(하늘소 종류의 유충의 총칭); 수궁(도마뱀 비슷한 파충류); 전갈,수궁 【갈】,총 15획 (부 9획),142,9,벌레충
84,갈,鞨,오랑캐 이름,18,金,FALSE,9,革,金,오랑캐 이름(靺鞨),오랑캐 이름 【갈】,총 18획 (부 9획),177,9,가죽혁
85,감,甘,달,5,土,FALSE,5,甘,土,달다; 맛나다; 달콤하다; 달게 여기다; 단 것; 느슨하다,달 【감】,총 5획 (부 0획),99,0,달감
86,감,感,느낄,13,火,FALSE,4,心,火,느끼다; 감동하다(시키다); 감응하다; 깨닫다; 감동; 감응; 느낌; 움직이다; 흔들다; 한하다(憾),느낄 【감】,총 13획 (부 9획),61,9,마음심
